physician_id,segment,specialty,region,formulary_tier,adoption_status,adoption_rate_pct,adopted_therapy,patient_panel_size,adopted_patients_est,untapped_patients_est,rep_visit_frequency_q,rep_coverage_band,digital_engagement_score,engagement_band,peer_influence_score,competitor_loyalty_score,patient_oop_cost_estimate,cost_band,pct_medicare_patients,years_in_practice,tenure_band
PHY100000,Access-Constrained,Primary Care,South,3 - Restricted (high copay),Not adopted,3.3,0,274.0,9.0,265.0,2,Medium (2-3/qtr),50.4,Medium,70.8,33.5,159.0,High ($100+),37.2,11.0,Mid (6-15 yrs)
PHY100001,Access-Constrained,Primary Care,Midwest,3 - Restricted (high copay),Not adopted,5.2,0,120.0,6.0,114.0,1,Low (0-1/qtr),71.9,High,76.2,43.5,110.0,High ($100+),46.2,15.0,Mid (6-15 yrs)
PHY100002,"White Space (High Potential, Under-Engaged)",Internal Medicine,West,1 - Preferred (low copay),Not adopted,12.5,0,159.0,20.0,139.0,3,Medium (2-3/qtr),53.4,Medium,46.2,45.5,36.0,Low ($0-50),46.3,8.0,Mid (6-15 yrs)
PHY100003,Access-Constrained,Primary Care,South,3 - Restricted (high copay),Not adopted,11.1,0,209.0,23.0,186.0,3,Medium (2-3/qtr),84.9,High,66.3,65.0,109.0,High ($100+),48.1,6.0,Mid (6-15 yrs)
PHY100004,Access-Constrained,Cardiology,Northeast,2 - Standard,Not adopted,10.2,0,332.0,34.0,298.0,3,Medium (2-3/qtr),26.6,Low,28.0,26.6,77.0,Medium ($50-100),28.3,7.0,Mid (6-15 yrs)
PHY100005,Access-Constrained,Internal Medicine,Northeast,3 - Restricted (high copay),Not adopted,1.4,0,269.0,4.0,265.0,4,High (4+/qtr),49.8,Medium,65.3,90.4,121.0,High ($100+),43.1,10.0,Mid (6-15 yrs)
PHY100006,Access-Constrained,Primary Care,South,3 - Restricted (high copay),Not adopted,5.6,0,247.0,14.0,233.0,3,Medium (2-3/qtr),64.8,Medium,38.6,34.8,111.0,High ($100+),24.9,6.0,Mid (6-15 yrs)
PHY100007,Access-Constrained,Primary Care,Northeast,2 - Standard,Not adopted,2.6,0,157.0,4.0,153.0,3,Medium (2-3/qtr),45.8,Medium,26.3,49.8,54.0,Medium ($50-100),28.7,15.0,Mid (6-15 yrs)
PHY100008,"White Space (High Potential, Under-Engaged)",Cardiology,South,1 - Preferred (low copay),Adopted,75.0,1,127.0,95.0,32.0,4,High (4+/qtr),75.3,High,46.3,26.8,19.0,Low ($0-50),24.2,19.0,Senior (16+ yrs)
PHY100009,Access-Constrained,Primary Care,West,2 - Standard,Not adopted,25.9,0,227.0,59.0,168.0,3,Medium (2-3/qtr),40.5,Medium,78.0,24.0,92.0,Medium ($50-100),20.2,3.0,Early (0-5 yrs)
PHY100010,"White Space (High Potential, Under-Engaged)",Endocrinology,Northeast,1 - Preferred (low copay),Not adopted,19.7,0,114.0,22.0,92.0,3,Medium (2-3/qtr),95.5,High,53.6,32.5,95.0,Medium ($50-100),54.0,14.0,Mid (6-15 yrs)
PHY100011,Access-Constrained,Internal Medicine,Northeast,3 - Restricted (high copay),Adopted,24.2,1,166.0,40.0,126.0,5,High (4+/qtr),96.7,High,79.9,30.6,112.0,High ($100+),48.3,12.0,Mid (6-15 yrs)
PHY100012,Advocates (High Adopters),Primary Care,West,1 - Preferred (low copay),Not adopted,12.0,0,173.0,21.0,152.0,4,High (4+/qtr),56.2,Medium,35.0,41.7,80.0,Medium ($50-100),52.6,16.0,Senior (16+ yrs)
PHY100013,Access-Constrained,Internal Medicine,South,2 - Standard,Not adopted,40.3,0,276.0,111.0,165.0,2,Medium (2-3/qtr),62.2,Medium,71.0,30.4,110.0,High ($100+),38.6,14.0,Mid (6-15 yrs)
PHY100014,Access-Constrained,Primary Care,Northeast,3 - Restricted (high copay),Not adopted,1.3,0,159.0,2.0,157.0,4,High (4+/qtr),76.2,High,37.0,63.9,117.0,High ($100+),49.7,4.0,Early (0-5 yrs)
PHY100015,Advocates (High Adopters),Endocrinology,West,1 - Preferred (low copay),Not adopted,59.6,0,34.0,20.0,14.0,5,High (4+/qtr),23.9,Low,54.5,34.3,40.0,Low ($0-50),11.6,5.0,Early (0-5 yrs)
PHY100016,Access-Constrained,Primary Care,West,2 - Standard,Not adopted,3.2,0,210.0,7.0,203.0,3,Medium (2-3/qtr),21.1,Low,54.3,32.1,90.0,Medium ($50-100),50.9,14.0,Mid (6-15 yrs)
PHY100017,Access-Constrained,Cardiology,South,2 - Standard,Not adopted,9.1,0,138.0,13.0,125.0,3,Medium (2-3/qtr),77.6,High,63.2,42.1,115.0,High ($100+),40.7,21.0,Senior (16+ yrs)
PHY100018,Advocates (High Adopters),Internal Medicine,South,2 - Standard,Not adopted,5.1,0,183.0,9.0,174.0,5,High (4+/qtr),56.0,Medium,55.0,69.9,98.0,Medium ($50-100),47.4,1.0,Early (0-5 yrs)
